IJK,   RMBM,   TBX,   ZETABX,   EBXD,   WRWXB,   EFXD,   MU0 (F0 or QYF),   G1,   BT,   G2,   A,   NT,   D,   ECC,   RMRM,   TBE0X,   E0EXD,   MU0EXD 
1, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.25, 0.5, 0.05, 2.5, 0.2, 0.2
2, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.3, 0.5, 0.05, 2.5, 0.2, 0.2
3, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.35, 0.5, 0.05, 2.5, 0.2, 0.2
4, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.4, 0.5, 0.05, 2.5, 0.2, 0.2
5, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.45, 0.5, 0.05, 2.5, 0.2, 0.2
6, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.5, 0.5, 0.05, 2.5, 0.2, 0.2
7, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.55, 0.5, 0.05, 2.5, 0.2, 0.2
8, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.6, 0.5, 0.05, 2.5, 0.2, 0.2
9, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.65, 0.5, 0.05, 2.5, 0.2, 0.2
10, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.7, 0.5, 0.05, 2.5, 0.2, 0.2
11, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.75, 0.5, 0.05, 2.5, 0.2, 0.2
12, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.8, 0.5, 0.05, 2.5, 0.2, 0.2
13, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.25, 0.5, 0.05, 2.5, 0.001, 0.001
14, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.3, 0.5, 0.05, 2.5, 0.001, 0.001
15, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.35, 0.5, 0.05, 2.5, 0.001, 0.001
16, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.4, 0.5, 0.05, 2.5, 0.001, 0.001
17, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.45, 0.5, 0.05, 2.5, 0.001, 0.001
18, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.5, 0.5, 0.05, 2.5, 0.001, 0.001
19, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.55, 0.5, 0.05, 2.5, 0.001, 0.001
20, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.6, 0.5, 0.05, 2.5, 0.001, 0.001
21, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.65, 0.5, 0.05, 2.5, 0.001, 0.001
22, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.7, 0.5, 0.05, 2.5, 0.001, 0.001
23, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.75, 0.5, 0.05, 2.5, 0.001, 0.001
24, 0.999, 50, 0, 0.001, 1, 0.001, 0.05, 0.001, 0.5, 0.5, 1, 15, 0.8, 0.5, 0.05, 2.5, 0.001, 0.001